,0,1,2,3,4,5,6,7,8,9,10,11
119,1,1,3,3,2,2,1,2,2,1,35,30
120,1,1,3,3,2,2,1,2,2,2,29,22
121,1,1,3,3,2,2,1,3,1,1,21,10
122,1,1,3,3,3,1,0,1,3,2,9,6
123,1,1,3,3,3,1,0,1,3,3,3,2
124,1,1,3,3,3,2,1,2,1,1,1,1
125,1,1,3,3,3,2,1,2,1,2,10,9
126,1,1,3,3,3,2,1,2,2,1,4,3
127,1,1,3,3,3,2,1,2,2,2,13,10
128,1,1,3,3,3,2,1,3,1,1,4,0
129,1,1,4,1,2,2,1,2,1,1,56,56
130,1,1,4,1,2,2,1,2,1,2,60,60
131,1,1,4,1,2,2,1,3,1,1,75,75
132,1,1,4,2,2,2,1,2,2,1,8,8
133,1,1,4,2,2,2,1,2,2,2,6,6
134,1,1,4,2,2,2,1,3,1,1,5,5
135,1,2,3,1,2,1,1,2,1,1,152,133
136,1,2,3,1,2,1,1,2,1,2,162,138
137,1,2,3,1,2,2,1,2,1,1,297,276
138,1,2,3,1,2,2,1,2,1,2,325,273
139,1,2,3,1,2,2,1,3,1,1,114,85
140,1,2,3,2,2,1,1,2,2,1,11,7
141,1,2,3,2,2,1,1,2,2,2,14,12
142,1,2,3,2,2,2,1,2,2,1,24,23
143,1,2,3,2,2,2,1,2,2,2,24,18
144,1,2,3,2,2,2,1,3,1,1,14,9
145,2,1,2,1,2,1,0,1,1,1,18742,4875
146,2,1,2,1,2,1,0,1,1,2,19404,4568
147,2,1,2,1,2,2,1,2,1,1,10154,1951
148,2,1,2,1,2,2,1,2,1,2,6198,1034
149,2,1,2,1,3,1,0,1,1,1,3073,961
150,2,1,2,1,3,1,0,1,1,2,12297,3411
151,2,1,2,1,3,1,0,1,1,3,2520,463
152,2,1,2,1,3,2,1,2,1,1,2295,495
153,2,1,2,1,3,2,1,2,1,2,5422,1171
154,2,1,2,1,4,1,0,1,1,2,776,426
155,2,1,2,1,4,1,0,1,1,3,1037,487
156,2,1,2,1,4,2,1,2,1,2,806,397
157,2,1,2,2,2,1,0,1,1,1,19716,5077
158,2,1,2,2,2,1,0,1,1,2,20492,4923
159,2,1,2,2,2,1,0,1,2,1,25808,6676
160,2,1,2,2,2,1,0,1,2,2,27006,6426
161,2,1,2,2,2,2,1,2,1,1,20059,3741
162,2,1,2,2,2,2,1,2,1,2,12321,2109
163,2,1,2,2,2,2,1,2,2,1,4895,1022
164,2,1,2,2,2,2,1,2,2,2,2906,507
165,2,1,2,2,3,1,0,1,1,1,3226,1001
166,2,1,2,2,3,1,0,1,1,2,13319,3662
167,2,1,2,2,3,1,0,1,1,3,2693,513
168,2,1,2,2,3,1,0,1,2,1,4411,1317
169,2,1,2,2,3,1,0,1,2,2,17043,4567
170,2,1,2,2,3,1,0,1,2,3,3605,651
171,2,1,2,2,3,2,1,2,1,1,4523,1005
172,2,1,2,2,3,2,1,2,1,2,10718,2231
173,2,1,2,2,3,2,1,2,2,1,1137,287
174,2,1,2,2,3,2,1,2,2,2,2671,564
175,2,1,2,2,4,1,0,1,1,2,863,481
176,2,1,2,2,4,1,0,1,1,3,1134,475
177,2,1,2,2,4,1,0,1,2,2,1046,570
178,2,1,2,2,4,1,0,1,2,3,1373,565
179,2,1,2,2,4,2,1,2,1,2,1589,748
180,2,1,2,2,4,2,1,2,2,2,343,160
181,2,1,2,3,2,1,0,1,1,1,1911,512
182,2,1,2,3,2,1,0,1,1,2,1927,496
183,2,1,2,3,2,1,0,1,2,1,4396,1168
184,2,1,2,3,2,1,0,1,2,2,4630,1093
185,2,1,2,3,2,1,0,1,3,1,2040,452
186,2,1,2,3,2,1,0,1,3,2,2100,437
187,2,1,2,3,2,2,1,2,1,1,3007,580
188,2,1,2,3,2,2,1,2,1,2,1756,316
189,2,1,2,3,2,2,1,2,2,1,1544,287
190,2,1,2,3,2,2,1,2,2,2,1001,165
191,2,1,2,3,3,1,0,1,1,1,291,88
192,2,1,2,3,3,1,0,1,1,2,1430,409
193,2,1,2,3,3,1,0,1,1,3,266,57
194,2,1,2,3,3,1,0,1,2,1,807,225
195,2,1,2,3,3,1,0,1,2,2,2787,787
196,2,1,2,3,3,1,0,1,2,3,610,116
197,2,1,2,3,3,1,0,1,3,1,309,95
198,2,1,2,3,3,1,0,1,3,2,1327,320
199,2,1,2,3,3,1,0,1,3,3,280,45
200,2,1,2,3,3,2,1,2,1,1,735,190
201,2,1,2,3,3,2,1,2,1,2,1535,313
202,2,1,2,3,3,2,1,2,2,1,359,80
203,2,1,2,3,3,2,1,2,2,2,857,169
204,2,1,2,3,4,1,0,1,1,2,78,48
205,2,1,2,3,4,1,0,1,1,3,119,49
206,2,1,2,3,4,1,0,1,2,2,159,86
207,2,1,2,3,4,1,0,1,2,3,238,103
208,2,1,2,3,4,1,0,1,3,2,93,45
209,2,1,2,3,4,1,0,1,3,3,119,37
210,2,1,2,3,4,2,1,2,1,2,216,103
211,2,1,2,3,4,2,1,2,2,2,124,62
212,2,1,2,4,2,1,0,1,2,1,363,128
213,2,1,2,4,2,1,0,1,2,2,339,102
214,2,1,2,4,2,1,0,1,3,1,327,98
215,2,1,2,4,2,1,0,1,3,2,392,115
216,2,1,2,4,2,2,1,2,1,1,171,47
217,2,1,2,4,2,2,1,2,1,2,112,33
218,2,1,2,4,2,2,1,2,2,1,173,51
219,2,1,2,4,2,2,1,2,2,2,115,32
220,2,1,2,4,3,1,0,1,2,1,52,20
221,2,1,2,4,3,1,0,1,2,2,226,75
222,2,1,2,4,3,1,0,1,2,3,41,12
223,2,1,2,4,3,1,0,1,3,1,55,26
224,2,1,2,4,3,1,0,1,3,2,209,57
225,2,1,2,4,3,1,0,1,3,3,59,13
226,2,1,2,4,3,2,1,2,1,1,56,23
227,2,1,2,4,3,2,1,2,1,2,119,32
228,2,1,2,4,3,2,1,2,2,1,42,14
229,2,1,2,4,3,2,1,2,2,2,105,32
230,2,1,2,4,4,1,0,1,2,2,15,10
231,2,1,2,4,4,1,0,1,2,3,19,9
232,2,1,2,4,4,1,0,1,3,2,11,5
233,2,1,2,4,4,1,0,1,3,3,30,12
234,2,1,2,4,4,2,1,2,1,2,18,10
235,2,1,2,4,4,2,1,2,2,2,18,7
236,2,1,3,1,2,1,0,1,1,1,991,812
237,2,1,3,1,2,1,0,1,1,2,1196,898
238,2,1,3,1,2,2,1,2,1,1,2413,2038
239,2,1,3,1,2,2,1,2,1,2,2004,1482
240,2,1,3,1,2,2,1,3,1,1,716,267
241,2,1,3,1,3,1,0,1,1,2,307,254
242,2,1,3,1,3,1,0,1,1,3,159,87
243,2,1,3,1,3,2,1,2,1,1,283,238
244,2,1,3,1,3,2,1,2,1,2,636,513
245,2,1,3,1,3,2,1,3,1,1,163,71
246,2,1,3,2,2,1,0,1,2,1,825,662
247,2,1,3,2,2,1,0,1,2,2,955,692
248,2,1,3,2,2,2,1,2,1,1,1236,1024
249,2,1,3,2,2,2,1,2,1,2,1017,768
250,2,1,3,2,2,2,1,2,2,1,598,511
251,2,1,3,2,2,2,1,2,2,2,539,410
252,2,1,3,2,2,2,1,3,1,1,566,215
253,2,1,3,2,3,1,0,1,2,2,284,227
254,2,1,3,2,3,1,0,1,2,3,137,63
255,2,1,3,2,3,2,1,2,1,1,165,144
256,2,1,3,2,3,2,1,2,1,2,349,278
257,2,1,3,2,3,2,1,2,2,1,86,70
258,2,1,3,2,3,2,1,2,2,2,181,142
259,2,1,3,2,3,2,1,3,1,1,129,50
260,2,1,3,3,2,1,0,1,3,1,66,49
261,2,1,3,3,2,1,0,1,3,2,74,49
262,2,1,3,3,2,2,1,2,1,1,31,25
263,2,1,3,3,2,2,1,2,1,2,26,21
264,2,1,3,3,2,2,1,2,2,1,94,77
265,2,1,3,3,2,2,1,2,2,2,81,62
266,2,1,3,3,2,2,1,3,1,1,44,18
267,2,1,3,3,3,1,0,1,3,2,17,11
268,2,1,3,3,3,1,0,1,3,3,6,2
269,2,1,3,3,3,2,1,2,1,1,4,3
270,2,1,3,3,3,2,1,2,1,2,9,8
271,2,1,3,3,3,2,1,2,2,1,12,10
272,2,1,3,3,3,2,1,2,2,2,34,27
273,2,1,3,3,3,2,1,3,1,1,8,2
274,2,1,4,1,2,2,1,2,1,1,49,49
275,2,1,4,1,2,2,1,2,1,2,48,48
276,2,1,4,1,2,2,1,3,1,1,50,50
277,2,1,4,2,2,2,1,2,2,1,8,8
278,2,1,4,2,2,2,1,2,2,2,8,8
279,2,1,4,2,2,2,1,3,1,1,10,10
280,2,2,2,2,2,1,0,1,2,1,781,500
281,2,2,2,2,2,1,0,1,2,2,927,541
282,2,2,2,2,2,1,1,2,1,1,275,52
283,2,2,2,2,2,1,1,2,1,2,141,28
284,2,2,2,2,2,1,1,2,2,1,484,140
285,2,2,2,2,2,1,1,2,2,2,353,97
286,2,2,2,2,2,2,1,2,1,1,282,64
287,2,2,2,2,2,2,1,2,1,2,145,30
288,2,2,2,2,2,2,1,2,2,1,481,140
289,2,2,2,2,2,2,1,2,2,2,351,87
290,2,2,2,2,3,1,0,1,2,1,93,69
291,2,2,2,2,3,1,0,1,2,2,340,218
292,2,2,2,2,3,1,0,1,2,3,168,59
293,2,2,2,2,3,1,1,2,1,2,151,34
294,2,2,2,2,3,1,1,2,2,1,92,24
295,2,2,2,2,3,1,1,2,2,2,201,57
296,2,2,2,2,3,2,1,2,1,2,135,31
297,2,2,2,2,3,2,1,2,2,1,92,36
298,2,2,2,2,3,2,1,2,2,2,162,54
299,2,2,2,3,2,1,0,1,3,1,87,51
300,2,2,2,3,2,1,0,1,3,2,103,53
301,2,2,2,3,2,1,1,2,1,1,25,6
302,2,2,2,3,2,1,1,2,1,2,12,1
303,2,2,2,3,2,1,1,2,2,1,50,11
304,2,2,2,3,2,1,1,2,2,2,42,10
305,2,2,2,3,2,2,1,2,2,1,80,23
306,2,2,2,3,2,2,1,2,2,2,54,11
307,2,2,2,3,3,1,0,1,3,1,16,8
308,2,2,2,3,3,1,0,1,3,2,32,18
309,2,2,2,3,3,1,0,1,3,3,9,6
310,2,2,2,3,3,1,1,2,1,2,16,5
311,2,2,2,3,3,1,1,2,2,1,6,3
312,2,2,2,3,3,1,1,2,2,2,18,3
313,2,2,2,3,3,2,1,2,2,1,12,4
314,2,2,2,3,3,2,1,2,2,2,23,4
315,2,2,3,1,2,1,1,2,1,1,140,121
316,2,2,3,1,2,1,1,2,1,2,146,113
317,2,2,3,1,2,2,1,2,1,1,261,248
318,2,2,3,1,2,2,1,2,1,2,250,214
319,2,2,3,1,2,2,1,3,1,1,85,70
320,2,2,3,2,2,1,1,2,2,1,24,22
321,2,2,3,2,2,1,1,2,2,2,26,21
322,2,2,3,2,2,2,1,2,2,1,56,52
323,2,2,3,2,2,2,1,2,2,2,59,50
324,2,2,3,2,2,2,1,3,1,1,19,15
325,3,1,2,1,2,1,0,1,1,1,20970,5618
326,3,1,2,1,2,1,0,1,1,2,21884,5359
327,3,1,2,1,2,2,1,2,1,1,11376,2087
328,3,1,2,1,2,2,1,2,1,2,7188,1170
329,3,1,2,1,3,1,0,1,1,1,3380,1064
330,3,1,2,1,3,1,0,1,1,2,13831,3888
331,3,1,2,1,3,1,0,1,1,3,2936,561
332,3,1,2,1,3,2,1,2,1,1,2637,555
333,3,1,2,1,3,2,1,2,1,2,6163,1224
334,3,1,2,1,4,1,0,1,1,2,827,456
335,3,1,2,1,4,1,0,1,1,3,1151,508
336,3,1,2,1,4,2,1,2,1,2,858,418
337,3,1,2,2,2,1,0,1,1,1,17761,4752
338,3,1,2,2,2,1,0,1,1,2,18172,4557
339,3,1,2,2,2,1,0,1,2,1,22945,6073
340,3,1,2,2,2,1,0,1,2,2,23787,5797
341,3,1,2,2,2,2,1,2,1,1,18023,3413
342,3,1,2,2,2,2,1,2,1,2,10857,1806
343,3,1,2,2,2,2,1,2,2,1,4293,796
344,3,1,2,2,2,2,1,2,2,2,2637,448
345,3,1,2,2,3,1,0,1,1,1,2863,903
346,3,1,2,2,3,1,0,1,1,2,12015,3366
347,3,1,2,2,3,1,0,1,1,3,2452,483
348,3,1,2,2,3,1,0,1,2,1,3798,1150
349,3,1,2,2,3,1,0,1,2,2,15393,4147
350,3,1,2,2,3,1,0,1,2,3,3211,561
351,3,1,2,2,3,2,1,2,1,1,4012,866
352,3,1,2,2,3,2,1,2,1,2,9643,1931
353,3,1,2,2,3,2,1,2,2,1,1016,223
354,3,1,2,2,3,2,1,2,2,2,2364,501
355,3,1,2,2,4,1,0,1,1,2,737,389
356,3,1,2,2,4,1,0,1,1,3,985,424
357,3,1,2,2,4,1,0,1,2,2,963,519
358,3,1,2,2,4,1,0,1,2,3,1257,522
359,3,1,2,2,4,2,1,2,1,2,1345,626
360,3,1,2,2,4,2,1,2,2,2,324,166
361,3,1,2,3,2,1,0,1,1,1,2643,749
362,3,1,2,3,2,1,0,1,1,2,2816,735
363,3,1,2,3,2,1,0,1,2,1,5264,1463
364,3,1,2,3,2,1,0,1,2,2,5441,1400
365,3,1,2,3,2,1,0,1,3,1,1838,397
366,3,1,2,3,2,1,0,1,3,2,1937,366
367,3,1,2,3,2,2,0,1,3,1,791,228
368,3,1,2,3,2,2,0,1,3,2,885,235
369,3,1,2,3,2,2,1,2,1,1,3817,774
370,3,1,2,3,2,2,1,2,1,2,2333,420
