,0,1,2,3,4,5,6,7,8,9,10,11
0,1,1,2,1,2,1,0,1,1,1,2320,424
1,1,1,2,1,2,1,0,1,1,2,10252,1762
2,1,1,2,1,2,2,1,2,1,1,2014,237
3,1,1,2,1,2,2,1,2,1,2,6396,753
4,1,1,2,1,3,1,0,1,1,1,696,110
5,1,1,2,1,3,1,0,1,1,2,10862,1846
6,1,1,2,1,3,1,0,1,1,3,3913,453
7,1,1,2,1,3,2,1,2,1,1,723,84
8,1,1,2,1,3,2,1,2,1,2,8156,994
9,1,1,2,1,3,2,1,2,1,3,1466,116
10,1,1,2,1,4,1,0,1,1,2,998,343
11,1,1,2,1,4,1,0,1,1,3,1893,559
12,1,1,2,1,4,1,0,1,1,4,379,82
13,1,1,2,1,4,2,1,2,1,2,1134,351
14,1,1,2,1,4,2,1,2,1,3,993,235
15,1,1,2,2,2,1,0,1,1,1,3017,520
16,1,1,2,2,2,1,0,1,1,2,13607,2374
17,1,1,2,2,2,1,0,1,2,1,7051,1136
18,1,1,2,2,2,1,0,1,2,2,31717,5211
19,1,1,2,2,2,2,1,2,1,1,5921,720
20,1,1,2,2,2,2,1,2,1,2,18861,2288
21,1,1,2,2,2,2,1,2,2,1,2880,367
22,1,1,2,2,2,2,1,2,2,2,9340,1192
23,1,1,2,2,3,1,0,1,1,1,952,147
24,1,1,2,2,3,1,0,1,1,2,14489,2584
25,1,1,2,2,3,1,0,1,1,3,5389,699
26,1,1,2,2,3,1,0,1,2,1,1928,333
27,1,1,2,2,3,1,0,1,2,2,34162,5592
28,1,1,2,2,3,1,0,1,2,3,12208,1467
29,1,1,2,2,3,2,1,2,1,1,1948,245
30,1,1,2,2,3,2,1,2,1,2,24137,2997
31,1,1,2,2,3,2,1,2,1,3,4376,366
32,1,1,2,2,3,2,1,2,2,1,991,101
33,1,1,2,2,3,2,1,2,2,2,11893,1499
34,1,1,2,2,3,2,1,2,2,3,2166,181
35,1,1,2,2,4,1,0,1,1,2,1365,482
36,1,1,2,2,4,1,0,1,1,3,2437,708
37,1,1,2,2,4,1,0,1,1,4,525,108
38,1,1,2,2,4,1,0,1,2,2,3028,1056
39,1,1,2,2,4,1,0,1,2,3,5830,1576
40,1,1,2,2,4,1,0,1,2,4,1145,195
41,1,1,2,2,4,2,1,2,1,2,3378,986
42,1,1,2,2,4,2,1,2,1,3,3006,726
43,1,1,2,2,4,2,1,2,2,2,1631,520
44,1,1,2,2,4,2,1,2,2,3,1475,375
45,1,1,2,3,2,1,0,1,1,1,564,95
46,1,1,2,3,2,1,0,1,1,2,2756,523
47,1,1,2,3,2,1,0,1,2,1,1423,241
48,1,1,2,3,2,1,0,1,2,2,6385,1161
49,1,1,2,3,2,1,0,1,3,1,1287,201
50,1,1,2,3,2,1,0,1,3,2,5559,805
51,1,1,2,3,2,2,1,2,1,1,1620,251
52,1,1,2,3,2,2,1,2,1,2,5001,652
53,1,1,2,3,2,2,1,2,2,1,1114,135
54,1,1,2,3,2,2,1,2,2,2,3484,478
55,1,1,2,3,2,2,1,2,3,1,209,29
56,1,1,2,3,2,2,1,2,3,2,585,81
57,1,1,2,3,3,1,0,1,1,1,171,34
58,1,1,2,3,3,1,0,1,1,2,2827,579
59,1,1,2,3,3,1,0,1,1,3,1083,128
60,1,1,2,3,3,1,0,1,2,1,428,88
61,1,1,2,3,3,1,0,1,2,2,6862,1246
62,1,1,2,3,3,1,0,1,2,3,2471,325
63,1,1,2,3,3,1,0,1,3,1,329,57
64,1,1,2,3,3,1,0,1,3,2,5953,856
65,1,1,2,3,3,1,0,1,3,3,2061,199
66,1,1,2,3,3,2,1,2,1,1,555,80
67,1,1,2,3,3,2,1,2,1,2,6502,897
68,1,1,2,3,3,2,1,2,1,3,1224,134
69,1,1,2,3,3,2,1,2,2,1,362,55
70,1,1,2,3,3,2,1,2,2,2,4547,609
71,1,1,2,3,3,2,1,2,2,3,882,77
72,1,1,2,3,3,2,1,2,3,1,43,8
73,1,1,2,3,3,2,1,2,3,2,794,93
74,1,1,2,3,3,2,1,2,3,3,138,11
75,1,1,2,3,4,1,0,1,1,2,317,118
76,1,1,2,3,4,1,0,1,1,3,459,141
77,1,1,2,3,4,1,0,1,1,4,90,12
78,1,1,2,3,4,1,0,1,2,2,612,204
79,1,1,2,3,4,1,0,1,2,3,1170,319
80,1,1,2,3,4,1,0,1,2,4,216,43
81,1,1,2,3,4,1,0,1,3,2,473,160
82,1,1,2,3,4,1,0,1,3,3,1062,280
83,1,1,2,3,4,1,0,1,3,4,170,16
84,1,1,2,3,4,2,1,2,1,2,872,287
85,1,1,2,3,4,2,1,2,1,3,791,218
86,1,1,2,3,4,2,1,2,2,2,634,210
87,1,1,2,3,4,2,1,2,2,3,550,139
88,1,1,2,3,4,2,1,2,3,2,95,29
89,1,1,2,3,4,2,1,2,3,3,89,24
90,1,1,2,4,2,1,0,1,2,1,217,50
91,1,1,2,4,2,1,0,1,2,2,1042,254
92,1,1,2,4,2,1,0,1,3,1,164,36
93,1,1,2,4,2,1,0,1,3,2,906,172
94,1,1,2,4,2,1,0,1,4,1,108,5
95,1,1,2,4,2,1,0,1,4,2,400,30
